일자,요일,휴일,법정공휴일명
2019-05-20,월요일,N,
2019-05-21,화요일,N,
2019-05-22,수요일,N,
2019-05-23,목요일,N,
2019-05-24,금요일,N,
2019-05-25,토요일,N,
2019-05-26,일요일,Y,
2019-05-27,월요일,N,
2019-05-28,화요일,N,
2019-05-29,수요일,N,
2019-05-30,목요일,N,
2019-05-31,금요일,N,
2019-06-01,토요일,N,
2019-06-02,일요일,Y,
2019-06-03,월요일,N,
2019-06-04,화요일,N,
2019-06-05,수요일,N,
2019-06-06,목요일,Y,현충일
2019-06-07,금요일,N,
2019-06-08,토요일,N,
2019-06-09,일요일,Y,
2019-06-10,월요일,N,
2019-06-11,화요일,N,
2019-06-12,수요일,N,
2019-06-13,목요일,N,
2019-06-14,금요일,N,
2019-06-15,토요일,N,
2019-06-16,일요일,Y,
2019-06-17,월요일,N,
2019-06-18,화요일,N,
2019-06-19,수요일,N,
2019-06-20,목요일,N,
2019-06-21,금요일,N,
2019-06-22,토요일,N,
2019-06-23,일요일,Y,
2019-06-24,월요일,N,
2019-06-25,화요일,N,
2019-06-26,수요일,N,
2019-06-27,목요일,N,
2019-06-28,금요일,N,
2019-06-29,토요일,N,
2019-06-30,일요일,Y,
2019-07-01,월요일,N,
2019-07-02,화요일,N,
2019-07-03,수요일,N,
2019-07-04,목요일,N,
2019-07-05,금요일,N,
2019-07-06,토요일,N,
2019-07-07,일요일,Y,
2019-07-08,월요일,N,
2019-07-09,화요일,N,
2019-07-10,수요일,N,
2019-07-11,목요일,N,
2019-07-12,금요일,N,
2019-07-13,토요일,N,
2019-07-14,일요일,Y,
2019-07-15,월요일,N,
2019-07-16,화요일,N,
2019-07-17,수요일,N,
2019-07-18,목요일,N,
2019-07-19,금요일,N,
2019-07-20,토요일,N,
2019-07-21,일요일,Y,
2019-07-22,월요일,N,
2019-07-23,화요일,N,
2019-07-24,수요일,N,
2019-07-25,목요일,N,
2019-07-26,금요일,N,
2019-07-27,토요일,N,
2019-07-28,일요일,Y,
2019-07-29,월요일,N,
2019-07-30,화요일,N,
2019-07-31,수요일,N,
2019-08-01,목요일,N,
2019-08-02,금요일,N,
2019-08-03,토요일,N,
2019-08-04,일요일,Y,
2019-08-05,월요일,N,
2019-08-06,화요일,N,
2019-08-07,수요일,N,
2019-08-08,목요일,N,
2019-08-09,금요일,N,
2019-08-10,토요일,N,
2019-08-11,일요일,Y,
2019-08-12,월요일,N,
2019-08-13,화요일,N,
2019-08-14,수요일,N,
